hour,day,lon_bin,lat_bin,speed
0,0,0,14,60.724390971228935
0,0,0,15,25.744231272218535
0,0,0,16,41.15099989920117
0,0,1,10,27.611054636741642
0,0,1,11,45.97809050470826
0,0,1,12,66.93266218277658
0,0,1,13,28.178655728803363
0,0,1,14,16.345438656510385
0,0,1,16,28.120661313965332
0,0,2,9,20.353340580557823
0,0,2,10,21.638488663970964
0,0,2,11,22.0841676075797
0,0,2,13,15.42827591968442
0,0,2,14,26.277003964334614
0,0,2,15,32.80602581828615
0,0,2,16,28.89534782493477
0,0,3,6,57.56718435305158
0,0,3,7,35.341535215115826
0,0,3,8,24.230827287033122
0,0,3,9,20.850183043340394
0,0,3,10,45.289735642540705
0,0,3,11,54.64338172304262
0,0,3,12,30.2963459723332
0,0,3,13,46.60928136633261
0,0,3,14,58.27895296067692
0,0,3,15,33.31234567220856
0,0,3,16,24.324815841643087
0,0,4,5,31.523253825931093
0,0,4,6,23.543851742683092
0,0,4,7,49.21647484354333
0,0,4,8,30.855158400398835
0,0,4,9,39.18907442812868
0,0,4,10,60.65718260462799
0,0,4,11,50.58124002161463
0,0,4,12,27.491306370622684
0,0,4,13,19.650663366242473
0,0,4,14,54.14347293085757
0,0,4,16,26.87785539116274
0,0,5,1,40.2360429498782
0,0,5,2,29.07633721053808
0,0,5,3,27.44261634761214
0,0,5,4,38.83802669839987
0,0,5,5,30.974704932312452
0,0,5,6,31.45370269036338
0,0,5,7,30.35756759879262
0,0,5,8,46.01671367997732
0,0,5,9,69.3136860165704
0,0,5,10,65.15879539409691
0,0,5,11,80.06423238710971
0,0,5,12,17.235125344201847
0,0,5,13,101.9785522448248
0,0,5,14,83.06781052080723
0,0,5,15,21.803955945442468
0,0,5,16,37.417796149122196
0,0,6,0,21.92038762202618
0,0,6,1,41.87326983295164
0,0,6,2,31.48305279124774
0,0,6,3,24.904015861747588
0,0,6,4,47.64291739431324
0,0,6,5,31.223988447334012
0,0,6,6,22.813345181610654
0,0,6,7,27.44660776903968
0,0,6,8,45.60042373241587
0,0,6,9,50.65205171867505
0,0,6,10,19.750784698152444
0,0,6,11,76.31442171144627
0,0,6,12,103.19712415054798
0,0,6,13,102.77567179290584
0,0,6,14,51.70171801942911
0,0,6,15,57.60901219397718
0,0,6,16,35.52716714341504
0,0,7,0,31.024004226766287
0,0,7,1,39.080778062148404
0,0,7,2,28.994611896981564
0,0,7,3,20.43297142703917
0,0,7,4,38.731040877700096
0,0,7,5,40.29812812064049
0,0,7,6,32.96022371320208
0,0,7,7,49.301925338746244
0,0,7,8,59.415302324667984
0,0,7,9,36.77850044930922
0,0,7,10,21.745616654576118
0,0,7,11,60.9934039604262
0,0,7,12,27.96962149206857
0,0,7,15,60.580029676563235
0,0,7,16,32.05281364484431
0,0,8,0,28.646128770915027
0,0,8,1,47.088069173434896
0,0,8,2,46.661984900081436
0,0,8,3,46.152245706759366
0,0,8,4,33.82583704920714
0,0,8,5,36.82834909430822
0,0,8,6,26.071533844568343
0,0,8,7,30.799476080790164
0,0,8,8,64.28053047505878
0,0,8,9,32.991593932922946
0,0,8,10,42.538190007133636
0,0,8,11,48.076755290426725
0,0,8,12,68.3268967609115
0,0,8,13,19.776641852160243
0,0,8,14,50.696045738132256
0,0,8,15,49.69929785870912
0,0,8,16,40.57501592584916
0,0,9,0,62.911312154657516
0,0,9,1,64.47256097492978
0,0,9,2,44.26508598960317
0,0,9,3,29.86134668676937
0,0,9,4,31.803353745594624
0,0,9,5,27.16096039164295
0,0,9,6,25.847278410398854
0,0,9,7,23.31608075336771
0,0,9,8,62.645236764864045
0,0,9,9,55.32430383976262
0,0,9,10,30.977818099911026
0,0,9,11,65.98083347264922
0,0,9,12,66.34021162311153
0,0,9,13,65.15130895033136
0,0,9,14,45.37911906067071
0,0,9,15,27.690048001928364
0,0,9,16,71.8534085262358
0,0,10,0,59.66421506017668
0,0,10,1,33.66986224572887
0,0,10,2,26.750275577680963
0,0,10,3,23.857344969975046
0,0,10,4,25.51450371859394
0,0,10,5,19.12448619593009
0,0,10,6,27.57542532373459
0,0,10,7,32.53625990339928
0,0,10,8,45.19712393187698
0,0,10,9,32.18612892139183
0,0,10,10,27.644289892166352
0,0,10,11,53.04243984664252
0,0,10,12,27.39913830377855
0,0,10,13,27.628312062666307
0,0,10,14,29.791982169431495
0,0,10,15,38.0435765375695
